generation,1_found_failures,1_mean_tcp_score,1_mean_failure_rate,1_qd_tcp_score,1_qd_failure_rate,1_added_to_archive,1_replaced_elite,1_num_valid_test_cases,1_num_sim_steps,1_not_confirmed_solvable
107,158,1.0,-1,1396.0,-1,14,6,1396,918,3
108,166,1.0,-1,1405.0,-1,11,3,1405,883,0
109,160,1.0,-1,1414.0,-1,10,6,1414,904,3
110,163,1.0,-1,1421.0,-1,6,4,1421,903,1
111,147,1.0,-1,1430.0,-1,8,6,1430,1021,3
112,162,1.0,-1,1438.0,-1,9,3,1438,882,2
113,158,1.0,-1,1445.0,-1,11,1,1445,869,6
114,149,1.0,-1,1454.0,-1,13,4,1454,1000,5
115,157,1.0,-1,1462.0,-1,8,4,1462,944,3
116,159,1.0,-1,1470.0,-1,6,4,1470,916,3
117,159,0.99999994,-1,1478.0,-1,8,4,1478,899,4
118,161,1.0,-1,1490.0,-1,9,4,1490,907,3
119,168,1.0,-1,1496.0,-1,8,2,1496,825,5
120,170,0.99999994,0.5272425,1505.0,793.49994,9,5,1505,865,0
121,154,1.0,-1,1513.0,-1,8,4,1513,979,3
122,153,1.0,-1,1525.0,-1,11,4,1525,932,2
123,158,0.99999994,-1,1529.0,-1,6,3,1529,916,3
124,155,1.0,-1,1542.0,-1,6,7,1542,964,1
125,158,1.0,-1,1554.0,-1,7,5,1554,911,1
126,162,1.0,-1,1558.0,-1,4,3,1558,956,2
127,163,1.0,-1,1565.0,-1,4,4,1565,844,5
128,163,1.0,-1,1573.0,-1,8,0,1573,924,4
129,149,1.0,-1,1584.0,-1,7,7,1584,1028,3
130,174,1.0,-1,1591.0,-1,4,5,1591,852,1
131,159,1.0,-1,1607.0,-1,12,6,1607,873,3
132,159,1.0,-1,1616.0,-1,11,3,1616,928,2
133,161,1.0,-1,1619.0,-1,2,3,1619,928,3
134,164,1.0,-1,1623.0,-1,3,2,1623,919,3
135,171,1.0,-1,1630.0,-1,3,5,1630,828,2
136,164,1.0,-1,1635.0,-1,3,4,1635,847,3
137,169,1.0,-1,1640.0,-1,5,3,1640,855,1
138,158,1.0,-1,1646.0,-1,8,1,1646,940,2
139,159,1.0,-1,1659.0,-1,11,5,1659,917,2
140,165,0.99999994,0.5266906,1671.0,880.1,7,6,1671,846,6
141,153,1.0,-1,1681.0,-1,9,2,1681,951,2
142,156,1.0,-1,1689.0,-1,7,4,1689,946,4
143,152,1.0,-1,1697.0,-1,9,2,1697,955,2
144,159,1.0,-1,1702.0,-1,7,2,1702,899,3
145,167,1.0,-1,1713.0,-1,6,6,1713,862,5
146,160,1.0,-1,1718.0,-1,1,4,1718,886,4
147,163,1.0,-1,1726.0,-1,4,6,1726,889,3
148,162,1.0,-1,1729.0,-1,3,3,1729,882,2
149,159,1.0,-1,1736.0,-1,4,5,1736,886,1
150,168,1.0,-1,1743.0,-1,6,3,1743,831,1
151,160,1.0,-1,1750.0,-1,8,3,1750,878,4
152,160,1.0,-1,1757.0,-1,6,3,1757,925,2
153,166,1.0,-1,1768.0,-1,6,7,1768,810,5
154,161,1.0,-1,1775.0,-1,8,4,1775,896,1
155,156,1.0,-1,1784.0,-1,8,3,1784,879,2
156,160,1.0,-1,1790.0,-1,3,4,1790,955,3
157,160,1.0,-1,1796.0,-1,3,4,1796,916,3
158,162,1.0,-1,1801.0,-1,7,1,1801,890,1
159,152,1.0,-1,1806.0,-1,4,4,1806,980,2
160,171,0.99999994,0.522973,1813.0,948.15,3,4,1813,831,1
161,153,1.0,-1,1818.0,-1,8,3,1818,961,1
162,163,1.0,-1,1825.0,-1,1,6,1825,878,3
163,161,1.0,-1,1827.0,-1,1,1,1827,861,7
164,158,1.0,-1,1833.0,-1,2,5,1833,901,4
165,153,1.0,-1,1839.0,-1,3,4,1839,947,4
166,168,1.0,-1,1843.0,-1,2,2,1843,839,3
167,163,1.0,-1,1850.0,-1,6,3,1850,801,5
168,161,1.0,-1,1855.0,-1,7,0,1855,919,4
169,157,1.0,-1,1858.0,-1,3,2,1858,934,3
170,143,1.0,-1,1862.0,-1,2,2,1862,1046,3
171,167,1.0,-1,1865.0,-1,4,0,1865,873,3
172,160,0.99999994,-1,1869.0,-1,3,2,1869,886,1
173,168,1.0,-1,1873.0,-1,3,3,1873,839,0
174,174,0.99999994,-1,1880.0,-1,3,5,1880,793,3
175,164,1.0,-1,1889.0,-1,5,7,1889,838,3
176,152,1.0,-1,1892.0,-1,1,2,1892,950,8
177,169,1.0,-1,1897.0,-1,3,2,1897,835,2
178,159,0.99999994,-1,1900.0,-1,2,2,1900,914,2
179,154,1.0,-1,1905.0,-1,6,1,1905,976,1
180,163,1.0,0.5222397,1911.0,998.0,3,5,1911,892,2
181,159,1.0,-1,1911.0,-1,1,0,1911,877,6
182,161,0.99999994,-1,1917.0,-1,3,4,1917,922,3
183,164,1.0,-1,1922.0,-1,3,4,1922,893,2
184,163,1.0,-1,1932.0,-1,8,4,1932,848,2
185,161,0.99999994,-1,1936.0,-1,1,4,1936,920,1
186,157,1.0,-1,1939.0,-1,2,1,1939,917,4
187,162,1.0,-1,1940.0,-1,1,1,1940,863,5
188,154,1.0,-1,1945.0,-1,2,5,1945,962,1
189,165,1.0,-1,1949.0,-1,2,4,1949,888,1
190,158,1.0,-1,1953.0,-1,2,2,1953,918,0
191,158,1.0,-1,1954.0,-1,3,0,1954,886,2
192,146,1.0,-1,1956.0,-1,1,2,1956,1025,0
193,164,1.0,-1,1959.0,-1,2,2,1959,854,2
194,157,1.0,-1,1963.0,-1,1,3,1963,927,4
195,167,0.99999994,-1,1967.0,-1,2,3,1967,842,1
196,163,0.99999994,-1,1967.0,-1,2,0,1967,894,2
197,175,1.0,-1,1972.0,-1,5,3,1972,788,3
198,157,1.0,-1,1977.0,-1,4,2,1977,919,1
199,153,1.0,-1,1980.0,-1,4,2,1980,957,5
200,164,1.0,0.5214106,1985.0,1035.0,1,5,1985,889,1
201,162,1.0,-1,1989.0,-1,1,4,1989,850,1
202,161,1.0,-1,1993.0,-1,0,4,1993,894,1
203,169,1.0,-1,1998.0,-1,1,4,1998,832,1
204,147,1.0,-1,2002.0,-1,0,4,2002,1003,3
205,157,1.0,-1,2004.0,-1,2,0,2004,928,3
206,150,1.0,-1,2006.0,-1,0,2,2006,1023,2
207,165,1.0,-1,2009.0,-1,3,3,2009,843,2
208,153,1.0,-1,2010.0,-1,0,1,2010,923,4
209,164,0.99999994,-1,2011.0,-1,3,1,2011,831,0
210,153,1.0,-1,2013.0,-1,4,0,2013,949,4
211,159,1.0,-1,2018.0,-1,5,3,2018,896,1
212,160,1.0,-1,2025.0,-1,1,6,2025,938,3
213,160,1.0,-1,2031.0,-1,2,4,2031,974,1
214,156,0.99999994,-1,2033.0,-1,2,1,2033,964,2
215,161,1.0,-1,2038.0,-1,2,3,2038,893,4
