generation,1_found_failures,1_mean_tcp_score,1_mean_failure_rate,1_qd_tcp_score,1_qd_failure_rate,1_added_to_archive,1_replaced_elite,1_num_valid_test_cases,1_num_sim_steps,1_not_confirmed_solvable
1,0,nan,-1,0.0,-1,15,0,0,2200,0
2,0,nan,-1,0.0,-1,6,0,0,2200,0
3,0,nan,-1,0.0,-1,3,0,0,2200,0
4,0,nan,-1,0.0,-1,6,0,0,2200,0
5,0,nan,-1,0.0,-1,4,0,0,2200,0
6,0,nan,-1,0.0,-1,8,0,0,2200,0
7,1,1.0,-1,1.0,-1,2,1,1,2191,0
8,1,1.0,-1,1.0,-1,0,0,1,2181,1
9,1,1.0,-1,1.0,-1,3,0,1,2181,1
10,2,1.0,-1,3.0,-1,1,1,3,2172,1
11,2,1.0,-1,4.0,-1,0,1,4,2172,1
12,1,1.0,-1,4.0,-1,1,0,4,2181,1
13,3,1.0,-1,6.0,-1,0,2,6,2169,1
14,4,1.0,-1,8.0,-1,0,2,8,2144,2
15,5,1.0,-1,10.0,-1,1,2,10,2144,2
16,4,1.0,-1,12.0,-1,2,1,12,2140,3
17,5,1.0,-1,14.0,-1,0,2,14,2136,2
18,3,1.0,-1,14.0,-1,1,0,14,2152,2
19,4,1.0,-1,16.0,-1,4,2,16,2149,2
20,2,1.0,0.4625,16.0,7.4,2,0,16,2162,2
21,2,1.0,-1,16.0,-1,2,0,16,2143,4
22,2,1.0,-1,16.0,-1,5,0,16,2152,3
23,3,1.0,-1,17.0,-1,3,1,17,2153,2
24,4,1.0,-1,19.0,-1,5,2,19,2145,3
25,6,1.0,-1,22.0,-1,2,3,22,2152,2
26,10,1.0,-1,24.0,-1,10,1,24,2099,3
27,11,1.0,-1,26.0,-1,6,1,26,2083,4
28,12,1.0,-1,29.0,-1,11,2,29,2084,3
29,133,1.0,-1,40.0,-1,13,5,40,1094,5
30,135,1.0,-1,58.0,-1,23,2,58,1047,6
31,150,1.0,-1,87.0,-1,32,3,87,886,2
32,152,1.0,-1,130.0,-1,60,3,130,759,9
33,157,1.0,-1,179.0,-1,59,7,179,729,6
