generation,single-policy_found_failures,single-policy_mean_tcp_score,single-policy_mean_failure_rate,single-policy_qd_tcp_score,single-policy_qd_failure_rate,single-policy_added_to_archive,single-policy_replaced_elite,single-policy_num_valid_test_cases,single-policy_num_sim_steps,single-policy_not_confirmed_solvable,multi-policy_found_failures,multi-policy_mean_tcp_score,multi-policy_mean_failure_rate,multi-policy_qd_tcp_score,multi-policy_qd_failure_rate,multi-policy_added_to_archive,multi-policy_replaced_elite,multi-policy_num_valid_test_cases,multi-policy_num_sim_steps,multi-policy_not_confirmed_solvable
1,0,nan,-1,0.0,-1,17,0,0,2200,0,0,nan,-1,0.0,-1,17,0,0,33000,0
2,0,nan,-1,0.0,-1,5,0,0,2200,0,0,nan,-1,0.0,-1,5,0,0,33000,0
3,0,nan,-1,0.0,-1,5,0,0,2200,0,1,0.06666667,-1,0.06666667,-1,5,1,1,32999,0
4,0,nan,-1,0.0,-1,7,0,0,2200,0,2,0.06666667,-1,0.13333334,-1,7,1,2,32998,0
5,0,nan,-1,0.0,-1,1,0,0,2200,0,2,0.06666668,-1,0.20000002,-1,1,1,3,32998,0
6,0,nan,-1,0.0,-1,4,0,0,2200,0,1,0.06666668,-1,0.20000002,-1,4,0,3,32999,0
7,1,1.0,-1,1.0,-1,4,1,1,2191,0,4,0.10476191,-1,0.73333335,-1,4,3,7,32960,0
8,1,1.0,-1,1.0,-1,2,0,1,2181,1,4,0.10476191,-1,0.73333335,-1,2,0,7,32810,1
9,1,1.0,-1,1.0,-1,1,0,1,2181,1,6,0.10833334,-1,0.86666673,-1,1,2,8,32799,1
10,2,1.0,-1,3.0,-1,2,1,3,2172,1,10,0.1939394,-1,2.1333334,-1,2,2,11,32645,1
11,2,1.0,-1,4.0,-1,1,1,4,2172,1,14,0.23333335,-1,3.7333336,-1,1,7,16,32619,1
12,1,1.0,-1,4.0,-1,0,0,4,2181,1,14,0.23859648,-1,4.5333333,-1,0,4,19,32617,1
13,3,1.0,-1,6.0,-1,0,2,6,2169,1,18,0.26666668,-1,6.1333337,-1,0,6,23,32503,1
14,4,1.0,-1,8.0,-1,0,2,8,2144,2,22,0.2923077,-1,7.6000004,-1,0,6,26,32334,2
15,5,1.0,-1,10.0,-1,1,1,10,2144,2,22,0.28275865,-1,8.200001,-1,1,3,29,32352,2
16,4,1.0,-1,12.0,-1,2,1,12,2140,3,26,0.30810812,-1,11.400001,-1,2,9,37,31947,3
17,4,1.0,-1,13.0,-1,0,1,13,2136,3,22,0.32792798,-1,12.133335,-1,0,2,37,31827,3
18,2,1.0,-1,13.0,-1,1,0,13,2152,3,23,0.34700856,-1,13.533334,-1,1,3,39,31923,3
19,4,1.0,-1,15.0,-1,4,2,15,2149,2,25,0.3545455,-1,15.600001,-1,4,6,44,32007,2
20,2,1.0,-1,15.0,-1,2,0,15,2162,2,23,0.35259262,-1,15.866668,-1,2,2,45,32151,2
21,2,1.0,-1,15.0,-1,2,0,15,2143,4,26,0.37681162,-1,17.333334,-1,2,3,46,31715,4
22,2,1.0,-1,16.0,-1,5,1,16,2152,3,28,0.3809524,-1,18.666668,-1,5,2,49,31943,3
23,3,1.0,-1,16.0,-1,5,0,16,2153,2,31,0.38076925,-1,19.800001,-1,5,3,52,32008,2
24,4,1.0,-1,18.0,-1,5,2,18,2145,3,33,0.37500003,-1,21.0,-1,5,5,56,31853,3
25,6,1.0,-1,20.0,-1,2,2,20,2152,2,34,0.3904762,-1,21.866667,-1,2,4,56,31909,2
26,8,1.0,-1,23.0,-1,10,2,23,2099,5,31,0.4045198,-1,23.866669,-1,10,4,59,31333,5
27,9,1.0,-1,25.0,-1,6,1,25,2083,6,37,0.41857928,-1,25.533337,-1,6,5,61,31128,6
28,10,1.0,-1,26.0,-1,10,0,26,2084,5,42,0.42769232,-1,27.800001,-1,10,2,65,31061,5
29,94,1.0,-1,38.0,-1,22,6,38,1379,4,178,0.5019609,-1,42.66667,-1,22,18,85,20144,4
30,85,0.99999994,-1,55.0,-1,46,4,55,1384,11,174,0.5418667,-1,67.73334,-1,46,24,125,19553,11
31,97,1.0,-1,72.0,-1,43,4,72,1271,11,184,0.5804878,-1,95.200005,-1,43,20,164,17983,11
32,97,1.0,-1,105.0,-1,57,6,105,1262,11,181,0.5969278,-1,129.53334,-1,57,15,217,17653,11
33,90,1.0,-1,142.0,-1,79,5,142,1276,17,172,0.6051643,-1,171.86667,-1,79,17,284,18085,17
34,103,1.0,-1,181.0,-1,74,7,181,1222,11,182,0.6020716,-1,213.13333,-1,74,20,354,17198,11
35,98,0.99999994,-1,220.0,-1,66,7,220,1197,16,174,0.618374,-1,253.53334,-1,66,24,410,17284,16
36,110,1.0,-1,253.0,-1,59,6,253,1109,14,181,0.6303291,-1,293.73334,-1,59,19,466,16281,14
37,104,0.99999994,-1,282.0,-1,56,7,282,1128,19,176,0.6371944,-1,330.0667,-1,56,24,518,16255,19
38,117,1.0,-1,329.0,-1,57,13,329,993,17,174,0.654321,-1,371.00003,-1,57,20,567,16031,17
39,126,1.0,-1,362.0,-1,56,3,362,949,14,182,0.65833336,-1,405.53336,-1,56,20,616,15560,14
40,121,1.0,-1,402.0,-1,53,14,402,1016,15,176,0.66686785,-1,442.13336,-1,53,30,663,16230,15
41,131,1.0,-1,430.0,-1,46,8,430,930,15,175,0.6679013,-1,468.8667,-1,46,19,702,15421,15
42,103,1.0,-1,458.0,-1,46,4,458,1167,15,176,0.6688115,-1,498.93338,-1,46,24,746,17552,15
43,109,1.0,-1,483.0,-1,47,7,483,1055,20,176,0.6669212,-1,524.2001,-1,47,19,786,16057,20
44,107,1.0,-1,508.0,-1,37,7,508,1076,20,178,0.66893756,-1,549.8667,-1,37,21,822,16194,20
45,109,1.0,-1,535.0,-1,34,5,535,1003,27,164,0.6742389,-1,575.80005,-1,34,15,854,15041,27
46,131,1.0,-1,562.0,-1,36,9,562,866,18,176,0.6793259,-1,604.60004,-1,36,25,890,14781,18
47,108,1.0,-1,590.0,-1,44,12,590,1083,23,172,0.684033,-1,635.4667,-1,44,23,929,15528,23
48,119,1.0,-1,618.0,-1,26,10,618,973,23,172,0.6869987,-1,662.2667,-1,26,26,964,15181,23
49,124,1.0,-1,638.0,-1,30,8,638,908,22,172,0.6912033,-1,683.60004,-1,30,35,989,14327,22
50,117,1.0,-1,667.0,-1,36,8,667,1008,21,170,0.69583344,-1,712.53345,-1,36,25,1024,15544,21
51,119,1.0,-1,703.0,-1,41,13,703,999,20,174,0.69959164,-1,742.2667,-1,41,34,1061,15298,20
52,109,1.0,-1,724.0,-1,36,7,724,979,27,166,0.6993285,-1,763.6667,-1,36,25,1092,15479,27
53,125,1.0,-1,745.0,-1,22,8,745,910,21,174,0.70737416,-1,786.60004,-1,22,27,1112,14692,21
54,120,1.0,-1,768.0,-1,27,10,768,961,21,173,0.71095496,-1,809.0668,-1,27,23,1138,14899,21
55,110,1.0,-1,791.0,-1,34,7,791,1002,29,165,0.7134363,-1,831.8667,-1,34,18,1166,15043,29
56,118,1.0,-1,807.0,-1,30,7,807,978,22,174,0.71325517,-1,850.20013,-1,30,17,1192,14631,22
57,121,1.0,-1,835.0,-1,32,14,835,897,28,169,0.7171304,-1,876.3334,-1,32,28,1222,14457,28
58,122,1.0,-1,858.0,-1,20,12,858,1009,17,180,0.7205891,-1,897.1334,-1,20,25,1245,14263,17
59,126,1.0,-1,882.0,-1,18,13,882,894,25,174,0.7243742,-1,916.3334,-1,18,30,1265,13734,25
60,124,0.99999994,-1,905.0,-1,26,10,905,999,15,180,0.72564507,-1,937.53345,-1,26,19,1292,15374,15
61,122,0.99999994,-1,933.0,-1,21,17,933,904,25,171,0.7285171,-1,958.00006,-1,21,22,1315,14079,25
62,115,0.99999994,-1,949.0,-1,14,8,949,1013,23,173,0.7330831,-1,976.46674,-1,14,25,1332,15501,23
63,125,1.0,-1,967.0,-1,21,8,967,961,20,175,0.7358956,-1,995.6667,-1,21,18,1353,14272,20
64,133,0.99999994,-1,984.0,-1,12,10,984,819,24,173,0.7398732,-1,1010.66675,-1,12,23,1366,13621,24
65,126,1.0,-1,1003.0,-1,28,8,1003,925,24,171,0.7398375,-1,1031.3335,-1,28,23,1394,14538,24
66,133,1.0,-1,1024.0,-1,19,8,1024,901,25,170,0.74279666,-1,1051.8,-1,19,23,1416,13929,25
67,115,1.0,-1,1043.0,-1,17,11,1043,957,28,168,0.74526477,-1,1070.2002,-1,17,28,1436,14204,28
68,120,1.0,-1,1056.0,-1,16,9,1056,1015,17,174,0.7466301,-1,1085.6001,-1,16,25,1454,15466,17
69,135,1.0,-1,1073.0,-1,12,7,1073,923,15,182,0.7497165,-1,1101.3335,-1,12,23,1469,14079,15
70,133,1.0,-1,1096.0,-1,18,12,1096,858,23,173,0.75344986,-1,1121.1334,-1,18,33,1488,13580,23
71,121,1.0,-1,1111.0,-1,21,4,1111,917,29,167,0.7545978,-1,1137.9335,-1,21,19,1508,14031,29
72,128,1.0,-1,1125.0,-1,14,8,1125,869,28,164,0.75777495,-1,1153.3335,-1,14,18,1522,13820,28
73,133,1.0,-1,1142.0,-1,18,7,1142,857,26,171,0.75952387,-1,1169.6667,-1,18,20,1540,13607,26
74,120,1.0,-1,1157.0,-1,8,11,1157,827,35,161,0.7613223,-1,1182.3335,-1,8,24,1553,13728,35
75,122,1.0,-1,1175.0,-1,15,10,1175,978,22,172,0.76199585,-1,1196.3335,-1,15,22,1570,14536,22
76,132,1.0,-1,1188.0,-1,10,8,1188,861,26,169,0.7640929,-1,1207.2668,-1,10,16,1580,13824,26
77,122,1.0,-1,1201.0,-1,11,10,1201,995,20,176,0.7654538,-1,1220.1334,-1,11,22,1594,14768,20
78,116,1.0,-1,1218.0,-1,12,13,1218,974,25,169,0.7678276,-1,1234.6667,-1,12,27,1608,14284,25
79,124,1.0,-1,1232.0,-1,9,9,1232,926,26,172,0.7703934,-1,1247.2668,-1,9,26,1619,13825,26
80,127,1.0,-1,1251.0,-1,15,11,1251,900,26,171,0.7726883,-1,1261.8,-1,15,23,1633,13830,26
81,128,1.0,-1,1265.0,-1,14,7,1265,950,23,171,0.7749292,-1,1275.5334,-1,14,22,1646,14705,23
82,129,1.0,-1,1277.0,-1,9,7,1277,901,25,170,0.7781804,-1,1288.6667,-1,9,23,1656,13796,25
83,130,1.0,-1,1295.0,-1,14,9,1295,861,24,172,0.78023523,-1,1305.3335,-1,14,22,1673,13436,24
84,114,1.0,-1,1302.0,-1,10,4,1302,979,31,162,0.77994066,-1,1314.2001,-1,10,13,1685,14475,31
85,134,1.0,-1,1314.0,-1,12,4,1314,814,24,174,0.78005505,-1,1324.5334,-1,12,12,1698,13532,24
86,130,1.0,-1,1331.0,-1,11,10,1331,895,24,173,0.7827593,-1,1340.8667,-1,11,27,1713,13467,24
87,133,1.0,-1,1350.0,-1,8,13,1350,871,21,175,0.78515947,-1,1354.4001,-1,8,26,1725,13607,21
88,122,1.0,-1,1360.0,-1,8,7,1360,913,28,170,0.78607434,-1,1362.2668,-1,8,17,1733,14761,28
89,123,1.0,-1,1375.0,-1,11,11,1375,869,32,166,0.7868427,-1,1371.4668,-1,11,15,1743,13306,32
90,111,0.99999994,-1,1382.0,-1,13,1,1382,988,29,165,0.785931,-1,1381.6667,-1,13,15,1758,14996,29
91,130,1.0,-1,1392.0,-1,12,6,1392,872,24,169,0.78629005,-1,1391.7334,-1,12,18,1770,14074,24
92,125,1.0,-1,1404.0,-1,6,8,1404,963,20,177,0.7876405,-1,1402.0001,-1,6,22,1780,14321,20
93,127,1.0,-1,1415.0,-1,3,9,1415,885,28,167,0.78991044,-1,1409.2002,-1,3,20,1784,13116,28
94,126,1.0,-1,1426.0,-1,5,9,1426,900,26,166,0.7933297,-1,1419.2668,-1,5,27,1789,13895,26
95,135,1.0,-1,1445.0,-1,11,10,1445,805,22,175,0.79485476,-1,1431.5334,-1,11,23,1801,13762,22
96,133,1.0,-1,1455.0,-1,5,9,1455,818,25,166,0.7960156,-1,1438.4001,-1,5,18,1807,13967,25
97,128,1.0,-1,1470.0,-1,10,9,1470,810,32,164,0.7987893,-1,1451.4001,-1,10,20,1817,12885,32
98,144,1.0,-1,1486.0,-1,12,9,1486,762,20,178,0.800401,-1,1463.9335,-1,12,12,1829,12694,20
99,119,1.0,-1,1492.0,-1,5,3,1492,904,29,167,0.8016341,-1,1471.8002,-1,5,19,1836,14376,29
100,131,0.99999994,0.8460386,1502.0,1270.75,4,8,1502,841,25,172,0.8035108,0.80551034,1480.0668,1483.75,4,19,1842,13723,25
101,132,1.0,-1,1511.0,-1,5,7,1511,809,29,167,0.8054474,-1,1488.4668,-1,5,20,1848,13558,29
102,135,1.0,-1,1517.0,-1,8,2,1517,817,28,167,0.8056784,-1,1494.5334,-1,8,12,1855,13454,28
103,134,1.0,-1,1527.0,-1,12,3,1527,758,30,167,0.8076415,-1,1507.8667,-1,12,22,1867,13043,30
104,120,1.0,-1,1538.0,-1,5,6,1538,880,33,159,0.8094273,-1,1516.8668,-1,5,11,1874,14250,33
105,133,1.0,-1,1548.0,-1,5,7,1548,855,20,175,0.81034917,-1,1524.2668,-1,5,13,1881,13558,20
106,130,1.0,-1,1563.0,-1,6,11,1563,884,26,173,0.81255734,-1,1535.7334,-1,6,21,1890,14143,26
107,138,1.0,-1,1578.0,-1,5,14,1578,792,26,170,0.8138465,-1,1543.8668,-1,5,16,1897,13428,26
108,131,1.0,-1,1584.0,-1,7,1,1584,840,26,169,0.81441826,-1,1551.4668,-1,7,12,1905,12773,26
109,115,1.0,-1,1590.0,-1,1,6,1590,960,28,166,0.8155835,-1,1556.1334,-1,1,18,1908,14496,28
110,127,1.0,-1,1597.0,-1,3,6,1597,835,33,163,0.8166755,-1,1563.9336,-1,3,21,1915,12768,33
111,135,0.99999994,-1,1606.0,-1,7,8,1606,847,22,176,0.81758595,-1,1571.4001,-1,7,20,1922,13358,22
112,135,1.0,-1,1613.0,-1,8,4,1613,692,35,158,0.819834,-1,1579.0002,-1,8,17,1926,12618,35
113,133,1.0,-1,1622.0,-1,6,5,1622,806,29,171,0.82048637,-1,1586.0001,-1,6,16,1933,12795,29
114,132,1.0,-1,1634.0,-1,10,8,1634,885,22,177,0.82118106,-1,1594.7335,-1,10,17,1942,13573,22
115,133,0.99999994,-1,1645.0,-1,3,8,1645,831,27,168,0.82306653,-1,1603.3335,-1,3,16,1948,13663,27
116,142,1.0,-1,1658.0,-1,8,8,1658,771,27,170,0.825767,-1,1615.2002,-1,8,24,1956,12381,27
117,140,1.0,-1,1668.0,-1,6,6,1668,802,25,173,0.8270675,-1,1623.5334,-1,6,15,1963,12876,25
118,136,0.99999994,-1,1674.0,-1,8,3,1674,773,26,172,0.82758045,-1,1630.3335,-1,8,9,1970,12988,26
119,142,1.0,-1,1686.0,-1,9,6,1686,804,24,172,0.82758975,-1,1637.8002,-1,9,8,1979,13411,24
120,142,0.99999994,-1,1691.0,-1,3,3,1691,781,26,171,0.8292298,-1,1643.5334,-1,3,12,1982,12626,26
121,121,1.0,-1,1698.0,-1,7,4,1698,846,36,160,0.8295664,-1,1651.6667,-1,7,13,1991,13129,36
122,132,1.0,-1,1704.0,-1,6,3,1704,855,24,172,0.8302637,-1,1658.8668,-1,6,15,1998,13539,24
123,131,0.99999994,-1,1712.0,-1,5,4,1712,838,29,169,0.8308052,-1,1664.9336,-1,5,13,2004,13433,29
124,139,1.0,-1,1720.0,-1,5,6,1720,745,32,165,0.83210623,-1,1672.5334,-1,5,14,2010,12251,32
125,134,0.99999994,-1,1725.0,-1,5,3,1725,803,28,167,0.8324897,-1,1677.4668,-1,5,10,2015,13407,28
126,124,0.99999994,-1,1733.0,-1,5,4,1733,866,30,166,0.8338777,-1,1685.2668,-1,5,16,2021,13359,30
127,139,1.0,-1,1737.0,-1,7,2,1737,834,20,177,0.8348957,-1,1692.3335,-1,7,16,2027,13602,20
128,143,1.0,-1,1747.0,-1,4,8,1747,776,24,175,0.83615494,-1,1699.0669,-1,4,17,2032,12932,24
129,121,1.0,-1,1750.0,-1,4,2,1750,836,35,156,0.83658975,-1,1704.1334,-1,4,14,2037,13127,35
130,131,0.99999994,-1,1758.0,-1,5,4,1758,750,35,163,0.83757347,-1,1712.0001,-1,5,12,2044,12184,35
131,133,1.0,-1,1765.0,-1,2,6,1765,740,38,157,0.8386961,-1,1715.1335,-1,2,14,2045,12455,38
132,127,1.0,-1,1770.0,-1,1,5,1770,794,33,164,0.83973926,-1,1717.2668,-1,1,15,2045,12836,33
133,135,1.0,-1,1775.0,-1,3,5,1775,742,35,163,0.8406775,-1,1720.8668,-1,3,15,2047,12423,35
134,143,1.0,-1,1781.0,-1,5,4,1781,737,27,173,0.8409284,-1,1727.2668,-1,5,12,2054,12644,27
135,150,1.0,-1,1789.0,-1,6,6,1789,731,22,176,0.8424067,-1,1736.2002,-1,6,20,2061,12526,22
