generation,single-policy_found_failures,single-policy_mean_tcp_score,single-policy_mean_failure_rate,single-policy_qd_tcp_score,single-policy_qd_failure_rate,single-policy_added_to_archive,single-policy_replaced_elite,single-policy_num_valid_test_cases,single-policy_num_sim_steps,single-policy_not_confirmed_solvable,multi-policy_found_failures,multi-policy_mean_tcp_score,multi-policy_mean_failure_rate,multi-policy_qd_tcp_score,multi-policy_qd_failure_rate,multi-policy_added_to_archive,multi-policy_replaced_elite,multi-policy_num_valid_test_cases,multi-policy_num_sim_steps,multi-policy_not_confirmed_solvable
365,137,1.0,-1,2357.0,-1,0,3,2357,847,21,172,0.9005632,-1,2238.8,-1,0,6,2486,13057,21
366,135,1.0,-1,2358.0,-1,0,1,2358,841,20,176,0.90096545,-1,2239.8,-1,0,4,2486,12917,20
367,132,1.0,-1,2358.0,-1,0,0,2358,863,17,177,0.9010728,-1,2240.067,-1,0,3,2486,13663,17
368,138,1.0,-1,2358.0,-1,0,0,2358,767,27,167,0.90120685,-1,2240.4001,-1,0,5,2486,12983,27
369,139,1.0,-1,2358.0,-1,0,0,2358,871,14,178,0.9015823,-1,2241.3335,-1,0,4,2486,14026,14
370,137,1.0,-1,2360.0,-1,0,2,2360,861,16,174,0.9024136,-1,2243.4001,-1,0,6,2486,13575,16
371,139,1.0,-1,2362.0,-1,0,2,2362,792,20,175,0.9027354,-1,2244.2002,-1,0,4,2486,13384,20
372,133,1.0,-1,2362.0,-1,0,0,2362,877,20,174,0.9030035,-1,2244.8667,-1,0,5,2486,13028,20
373,133,1.0,-1,2363.0,-1,0,1,2363,830,24,169,0.90335214,-1,2245.7334,-1,0,7,2486,13091,24
374,142,1.0,-1,2363.0,-1,0,0,2363,754,22,172,0.9036472,-1,2246.4668,-1,0,5,2486,12301,22
375,125,1.0,-1,2364.0,-1,0,1,2364,854,25,168,0.9036472,-1,2246.4668,-1,0,0,2486,13080,25
376,140,1.0,-1,2365.0,-1,0,1,2365,821,17,174,0.9038886,-1,2247.067,-1,0,5,2486,12852,17
377,134,1.0,-1,2366.0,-1,1,1,2366,815,30,165,0.9039004,-1,2248.0002,-1,1,3,2487,12701,30
378,133,1.0,-1,2367.0,-1,0,1,2367,851,25,169,0.90395397,-1,2248.1335,-1,0,1,2487,13443,25
379,131,1.0,-1,2367.0,-1,0,0,2367,862,22,168,0.9040344,-1,2248.3335,-1,0,3,2487,13236,22
380,134,1.0,-1,2370.0,-1,0,3,2370,870,21,175,0.90443647,-1,2249.3335,-1,0,8,2487,13720,21
381,149,1.0,-1,2371.0,-1,0,1,2371,800,12,180,0.90489215,-1,2250.4668,-1,0,4,2487,13001,12
382,133,1.0,-1,2372.0,-1,0,1,2372,833,22,172,0.9051334,-1,2251.067,-1,0,2,2487,12737,22
383,134,1.0,-1,2376.0,-1,1,4,2376,817,24,168,0.9059219,-1,2253.9336,-1,1,6,2488,13370,24
384,128,1.0,-1,2376.0,-1,0,0,2376,820,29,167,0.9061629,-1,2254.5334,-1,0,2,2488,12696,29
385,142,1.0,-1,2376.0,-1,0,0,2376,855,13,181,0.9064845,-1,2255.3335,-1,0,2,2488,13040,13
386,129,1.0,-1,2377.0,-1,0,1,2377,818,28,162,0.90653807,-1,2255.4668,-1,0,1,2488,13316,28
387,135,1.0,-1,2378.0,-1,0,1,2378,910,14,180,0.9066721,-1,2255.8003,-1,0,2,2488,14045,14
388,143,1.0,-1,2378.0,-1,0,0,2378,815,20,174,0.90675247,-1,2256.0002,-1,0,2,2488,13210,20
389,143,1.0,-1,2379.0,-1,0,1,2379,808,18,178,0.9069668,-1,2256.5334,-1,0,4,2488,12675,18
390,129,1.0,-1,2380.0,-1,0,1,2380,877,23,166,0.90707403,-1,2256.8003,-1,0,2,2488,13556,23
391,145,0.99999994,-1,2381.0,-1,0,1,2381,835,8,191,0.90710074,-1,2256.8667,-1,0,1,2488,13180,8
392,131,1.0,-1,2382.0,-1,0,1,2382,863,25,172,0.9071812,-1,2257.067,-1,0,3,2488,13248,25
393,140,1.0,-1,2383.0,-1,0,1,2383,830,20,173,0.9074491,-1,2257.7334,-1,0,3,2488,13279,20
394,140,1.0,-1,2385.0,-1,0,2,2385,791,23,173,0.90783453,-1,2259.6,-1,0,7,2489,13356,23
395,140,1.0,-1,2385.0,-1,0,0,2385,764,21,173,0.9081024,-1,2260.2668,-1,0,3,2489,12312,21
396,137,1.0,-1,2386.0,-1,0,1,2386,853,17,178,0.9082095,-1,2260.5334,-1,0,3,2489,13723,17
397,134,1.0,-1,2387.0,-1,0,1,2387,838,19,177,0.90869164,-1,2261.7334,-1,0,7,2489,12980,19
398,138,1.0,-1,2387.0,-1,0,0,2387,845,19,177,0.9087988,-1,2262.0002,-1,0,2,2489,13134,19
399,129,1.0,-1,2387.0,-1,0,0,2387,825,28,166,0.90882564,-1,2262.067,-1,0,1,2489,12993,28
400,132,1.0,0.7273775,2387.0,1736.25,0,0,2387,803,28,165,0.90887916,0.87073123,2262.2002,2167.25,0,2,2489,13070,28
401,134,1.0,-1,2387.0,-1,0,0,2387,799,24,168,0.90917385,-1,2262.9336,-1,0,4,2489,12761,24
402,129,1.0,-1,2390.0,-1,0,3,2390,962,21,177,0.9094513,-1,2264.5337,-1,0,5,2490,14690,21
403,135,1.0,-1,2390.0,-1,0,0,2390,834,20,178,0.9094513,-1,2264.5337,-1,0,0,2490,13532,20
404,131,1.0,-1,2391.0,-1,0,1,2391,842,23,170,0.90953153,-1,2264.7334,-1,0,3,2490,12805,23
405,130,1.0,-1,2391.0,-1,0,0,2391,863,24,165,0.90955836,-1,2264.8003,-1,0,1,2490,13069,24
406,135,1.0,-1,2391.0,-1,0,0,2391,827,23,173,0.90958506,-1,2264.8667,-1,0,1,2490,12809,23
407,149,1.0,-1,2394.0,-1,0,3,2394,751,16,181,0.9099425,-1,2266.6667,-1,0,2,2491,12388,16
408,136,1.0,-1,2395.0,-1,0,1,2395,817,22,170,0.91002274,-1,2266.8667,-1,0,1,2491,13534,22
409,135,1.0,-1,2395.0,-1,0,0,2395,854,20,171,0.9100495,-1,2266.9333,-1,0,1,2491,13314,20
