generation,1_found_failures,1_mean_tcp_score,1_mean_failure_rate,1_qd_tcp_score,1_qd_failure_rate,1_added_to_archive,1_replaced_elite,1_num_valid_test_cases,1_num_sim_steps,1_not_confirmed_solvable
1,0,nan,-1,0.0,-1,4,0,0,2200,0
2,0,nan,-1,0.0,-1,3,0,0,2200,0
3,0,nan,-1,0.0,-1,4,0,0,2200,0
4,0,nan,-1,0.0,-1,2,0,0,2200,0
5,0,nan,-1,0.0,-1,4,0,0,2200,0
6,0,nan,-1,0.0,-1,6,0,0,2200,0
7,0,nan,-1,0.0,-1,0,0,0,2200,0
8,0,nan,-1,0.0,-1,5,0,0,2200,0
9,0,nan,-1,0.0,-1,2,0,0,2200,0
10,0,nan,-1,0.0,-1,1,0,0,2200,0
11,0,nan,-1,0.0,-1,9,0,0,2200,0
12,0,nan,-1,0.0,-1,2,0,0,2200,0
13,0,nan,-1,0.0,-1,5,0,0,2200,0
14,0,nan,-1,0.0,-1,3,0,0,2200,0
15,0,nan,-1,0.0,-1,2,0,0,2200,0
16,0,nan,-1,0.0,-1,5,0,0,2200,0
17,1,1.0,-1,1.0,-1,3,1,1,2198,0
18,1,1.0,-1,1.0,-1,6,0,1,2198,0
19,2,1.0,-1,2.0,-1,6,1,2,2186,0
20,1,1.0,0.4,2.0,0.8,9,0,2,2194,0
21,2,1.0,-1,3.0,-1,6,0,3,2187,0
22,2,1.0,-1,4.0,-1,11,1,4,2186,0
23,2,1.0,-1,4.0,-1,7,0,4,2186,0
24,159,1.0,-1,14.0,-1,8,7,14,1051,1
25,154,1.0,-1,21.0,-1,18,1,21,1073,4
26,151,1.0,-1,30.0,-1,21,2,30,1113,0
27,146,1.0,-1,43.0,-1,25,2,43,1068,2
28,151,1.0,-1,65.0,-1,34,1,65,919,5
29,141,1.0,-1,81.0,-1,27,3,81,1018,6
30,157,1.0,-1,104.0,-1,26,6,104,876,5
31,153,1.0,-1,127.0,-1,32,8,127,881,3
32,160,1.0,-1,148.0,-1,28,4,148,850,3
33,157,1.0,-1,180.0,-1,38,5,180,886,3
34,160,1.0,-1,207.0,-1,33,6,207,860,4
35,165,0.99999994,-1,242.0,-1,43,1,242,854,1
36,164,1.0,-1,275.0,-1,32,10,275,833,2
37,153,1.0,-1,297.0,-1,30,5,297,924,6
38,156,1.0,-1,324.0,-1,33,1,324,928,1
39,148,1.0,-1,348.0,-1,38,2,348,1012,2
40,156,1.0,0.4315718,369.0,159.25,28,5,369,909,5
41,156,1.0,-1,395.0,-1,33,5,395,906,5
42,170,1.0,-1,421.0,-1,34,3,421,805,2
43,163,1.0,-1,443.0,-1,24,7,443,850,7
44,162,1.0,-1,473.0,-1,37,2,473,879,2
45,164,0.99999994,-1,498.0,-1,34,3,498,898,2
46,158,1.0,-1,516.0,-1,29,0,516,865,7
47,160,1.0,-1,540.0,-1,25,7,540,908,2
48,161,1.0,-1,559.0,-1,25,3,559,936,1
49,153,1.0,-1,581.0,-1,31,4,581,960,3
50,150,1.0,-1,599.0,-1,28,5,599,964,5
51,166,1.0,-1,621.0,-1,22,6,621,863,2
52,157,1.0,-1,650.0,-1,33,5,650,890,3
53,168,1.0,-1,671.0,-1,22,6,671,845,3
54,157,1.0,-1,694.0,-1,31,5,694,947,0
55,162,1.0,-1,711.0,-1,27,2,711,836,5
56,166,1.0,-1,736.0,-1,29,6,736,817,4
57,160,1.0,-1,755.0,-1,23,7,755,870,5
58,156,1.0,-1,768.0,-1,23,1,768,915,2
59,163,1.0,-1,789.0,-1,21,11,789,831,5
60,154,1.0,0.4487053,811.0,363.9,29,4,811,942,2
61,155,0.99999994,-1,833.0,-1,22,9,833,894,6
