generation,1_found_failures,1_mean_tcp_score,1_mean_failure_rate,1_qd_tcp_score,1_qd_failure_rate,1_added_to_archive,1_replaced_elite,1_num_valid_test_cases,1_num_sim_steps,1_not_confirmed_solvable
1,5,1.0,-1,5.0,-1,44,0,5,2104,11
2,11,1.0,-1,12.0,-1,28,2,12,2015,20
3,14,1.0,-1,20.0,-1,27,2,20,1912,36
4,22,1.0,-1,34.0,-1,25,6,34,1823,44
5,131,1.0,-1,76.0,-1,58,10,76,1102,63
6,128,1.0,-1,117.0,-1,59,10,117,1127,61
7,145,1.0,-1,150.0,-1,42,6,150,1115,48
8,153,1.0,-1,195.0,-1,44,14,195,1112,42
9,132,0.99999994,-1,227.0,-1,52,4,227,1124,63
10,146,1.0,-1,264.0,-1,47,8,264,1122,46
11,144,1.0,-1,294.0,-1,36,9,294,1135,50
12,145,0.99999994,-1,330.0,-1,49,7,330,1149,48
13,134,1.0,-1,363.0,-1,39,9,363,1116,59
14,136,1.0,-1,391.0,-1,41,3,391,1131,60
15,133,1.0,-1,421.0,-1,47,4,421,1231,51
16,135,1.0,-1,446.0,-1,37,7,446,1215,50
17,140,1.0,-1,471.0,-1,37,8,471,1148,55
18,135,1.0,-1,494.0,-1,40,5,494,1203,54
19,135,1.0,-1,520.0,-1,34,7,520,1173,50
20,134,1.0,0.8878378,555.0,492.75,45,7,555,1167,54
21,144,1.0,-1,587.0,-1,38,9,587,1105,48
22,140,1.0,-1,618.0,-1,37,13,618,1148,49
23,141,0.99999994,-1,642.0,-1,29,6,642,1227,45
24,142,1.0,-1,667.0,-1,32,4,667,1159,49
25,122,1.0,-1,687.0,-1,23,9,687,1171,63
26,142,1.0,-1,699.0,-1,17,4,699,1136,50
27,129,1.0,-1,726.0,-1,35,10,726,1159,65
28,141,1.0,-1,746.0,-1,21,9,746,1155,48
29,141,1.0,-1,767.0,-1,20,11,767,1167,44
30,140,1.0,-1,782.0,-1,24,7,782,1194,50
31,139,1.0,-1,798.0,-1,24,4,798,1170,51
32,147,1.0,-1,816.0,-1,20,8,816,1221,41
33,142,0.99999994,-1,837.0,-1,29,7,837,1188,47
34,129,1.0,-1,851.0,-1,22,6,851,1148,59
35,149,0.99999994,-1,872.0,-1,20,12,872,1187,41
36,151,1.0,-1,891.0,-1,15,10,891,1133,43
37,150,1.0,-1,907.0,-1,18,6,907,1142,44
38,141,1.0,-1,924.0,-1,19,6,924,1170,50
39,151,1.0,-1,945.0,-1,20,9,945,1147,42
40,148,1.0,0.88499486,963.0,852.25,15,8,963,1187,43
41,144,1.0,-1,983.0,-1,20,7,983,1178,50
42,143,1.0,-1,1001.0,-1,19,8,1001,1149,48
43,152,1.0,-1,1024.0,-1,21,10,1024,1135,40
44,131,1.0,-1,1035.0,-1,19,4,1035,1136,64
45,145,1.0,-1,1054.0,-1,13,10,1054,1175,43
46,144,1.0,-1,1070.0,-1,14,11,1070,1198,47
47,147,1.0,-1,1083.0,-1,13,5,1083,1172,41
48,147,1.0,-1,1098.0,-1,11,7,1098,1122,45
49,146,1.0,-1,1110.0,-1,12,5,1110,1177,45
50,139,1.0,-1,1121.0,-1,18,7,1121,1174,45
51,138,1.0,-1,1127.0,-1,6,5,1127,1176,53
52,145,1.0,-1,1141.0,-1,16,7,1141,1144,46
53,140,1.0,-1,1154.0,-1,9,11,1154,1169,49
54,129,1.0,-1,1165.0,-1,19,3,1165,1172,58
55,145,1.0,-1,1181.0,-1,10,11,1181,1173,45
56,143,1.0,-1,1189.0,-1,12,1,1189,1190,47
57,148,1.0,-1,1198.0,-1,8,8,1198,1156,44
58,135,1.0,-1,1211.0,-1,14,8,1211,1167,54
59,147,1.0,-1,1222.0,-1,10,6,1222,1193,40
60,140,1.0,0.885587,1235.0,1093.7,14,7,1235,1166,47
61,140,1.0,-1,1246.0,-1,13,5,1246,1187,46
62,141,1.0,-1,1259.0,-1,7,8,1259,1144,47
63,147,1.0,-1,1266.0,-1,7,4,1266,1184,44
64,151,0.99999994,-1,1272.0,-1,9,2,1272,1169,40
65,148,0.99999994,-1,1284.0,-1,14,6,1284,1151,44
66,138,1.0,-1,1290.0,-1,10,3,1290,1136,53
67,147,0.99999994,-1,1299.0,-1,4,7,1299,1131,50
68,137,1.0,-1,1311.0,-1,13,6,1311,1124,53
69,151,1.0,-1,1323.0,-1,8,7,1323,1138,41
70,148,1.0,-1,1333.0,-1,8,5,1333,1165,40
71,145,1.0,-1,1340.0,-1,9,3,1340,1165,45
72,130,1.0,-1,1349.0,-1,7,5,1349,1168,59
73,148,1.0,-1,1355.0,-1,9,4,1355,1132,44
74,147,1.0,-1,1361.0,-1,6,3,1361,1121,43
75,135,1.0,-1,1372.0,-1,6,8,1372,1190,55
76,148,1.0,-1,1377.0,-1,7,2,1377,1160,40
