generation,1_found_failures,1_mean_tcp_score,1_mean_failure_rate,1_qd_tcp_score,1_qd_failure_rate,1_added_to_archive,1_replaced_elite,1_num_valid_test_cases,1_num_sim_steps,1_not_confirmed_solvable
1,0,nan,-1,0.0,-1,20,0,0,2200,0
2,0,nan,-1,0.0,-1,9,0,0,2200,0
3,0,nan,-1,0.0,-1,5,0,0,2200,0
4,0,nan,-1,0.0,-1,7,0,0,2200,0
5,0,nan,-1,0.0,-1,2,0,0,2200,0
6,1,1.0,-1,1.0,-1,0,1,1,2193,0
7,1,1.0,-1,1.0,-1,1,0,1,2193,0
8,2,1.0,-1,2.0,-1,2,1,2,2188,0
9,5,1.0,-1,5.0,-1,3,3,5,2158,0
10,5,1.0,-1,7.0,-1,1,2,7,2158,0
11,3,1.0,-1,8.0,-1,0,1,8,2173,0
12,2,1.0,-1,9.0,-1,1,1,9,2182,0
13,3,1.0,-1,10.0,-1,1,1,10,2173,0
14,3,1.0,-1,11.0,-1,0,1,11,2172,0
15,4,1.0,-1,12.0,-1,1,1,12,2162,1
16,4,1.0,-1,13.0,-1,0,1,13,2170,1
17,3,1.0,-1,15.0,-1,2,1,15,2169,1
18,2,1.0,-1,16.0,-1,3,1,16,2163,3
19,5,1.0,-1,17.0,-1,2,0,17,2134,3
20,5,1.0,0.6447368,19.0,12.25,3,2,19,2142,3
21,2,1.0,-1,20.0,-1,5,0,20,2153,3
22,3,1.0,-1,21.0,-1,4,0,21,2154,3
23,5,1.0,-1,21.0,-1,11,0,21,2147,2
24,7,1.0,-1,24.0,-1,10,2,24,2132,2
25,6,1.0,-1,25.0,-1,13,0,25,2121,4
26,119,1.0,-1,48.0,-1,31,7,48,1074,8
27,142,0.99999994,-1,82.0,-1,41,8,82,810,8
28,158,1.0,-1,125.0,-1,56,2,125,572,16
29,167,1.0,-1,177.0,-1,60,5,177,548,9
30,160,1.0,-1,211.0,-1,46,2,211,549,12
31,168,1.0,-1,262.0,-1,56,11,262,484,12
32,165,1.0,-1,306.0,-1,57,3,306,579,6
33,164,1.0,-1,335.0,-1,41,5,335,519,11
34,169,1.0,-1,382.0,-1,58,1,382,537,8
35,164,1.0,-1,409.0,-1,36,4,409,573,7
36,164,1.0,-1,445.0,-1,46,5,445,618,7
37,164,1.0,-1,476.0,-1,42,1,476,551,10
38,163,1.0,-1,507.0,-1,43,3,507,614,6
39,168,1.0,-1,537.0,-1,34,5,537,552,8
40,158,0.99999994,0.6715167,567.0,380.75,48,3,567,620,11
41,159,1.0,-1,589.0,-1,34,4,589,624,8
42,164,1.0,-1,612.0,-1,27,6,612,589,8
43,165,1.0,-1,637.0,-1,33,4,637,584,8
44,152,1.0,-1,665.0,-1,40,6,665,677,10
45,158,1.0,-1,687.0,-1,34,5,687,660,8
46,162,1.0,-1,713.0,-1,31,4,713,645,5
47,169,1.0,-1,734.0,-1,23,6,734,641,3
48,158,1.0,-1,761.0,-1,36,1,761,658,9
49,156,1.0,-1,786.0,-1,36,5,786,657,12
50,151,1.0,-1,811.0,-1,33,6,811,649,14
51,149,1.0,-1,840.0,-1,37,7,840,758,9
52,151,1.0,-1,869.0,-1,42,4,869,702,12
53,159,1.0,-1,891.0,-1,29,6,891,684,7
54,154,1.0,-1,911.0,-1,23,6,911,649,14
55,159,1.0,-1,939.0,-1,30,11,939,652,6
56,157,1.0,-1,959.0,-1,24,6,959,708,8
57,154,1.0,-1,978.0,-1,24,6,978,650,13
58,153,1.0,-1,1000.0,-1,25,5,1000,710,6
59,166,1.0,-1,1028.0,-1,27,9,1028,581,8
60,157,1.0,0.67075384,1048.0,702.95,19,8,1048,685,6
61,157,1.0,-1,1078.0,-1,32,6,1078,715,9
62,155,1.0,-1,1107.0,-1,26,8,1107,730,5
63,158,0.99999994,-1,1128.0,-1,20,6,1128,632,10
64,170,1.0,-1,1146.0,-1,16,7,1146,573,8
65,147,1.0,-1,1163.0,-1,18,8,1163,757,12
66,157,1.0,-1,1190.0,-1,23,9,1190,687,5
67,163,1.0,-1,1206.0,-1,15,7,1206,631,8
68,146,1.0,-1,1223.0,-1,18,6,1223,767,5
69,163,1.0,-1,1237.0,-1,15,5,1237,616,8
70,156,1.0,-1,1251.0,-1,16,4,1251,744,3
71,153,1.0,-1,1265.0,-1,15,6,1265,712,10
72,159,1.0,-1,1277.0,-1,11,5,1277,626,12
73,155,1.0,-1,1290.0,-1,15,5,1290,718,7
74,160,1.0,-1,1310.0,-1,15,7,1310,613,10
75,167,1.0,-1,1330.0,-1,18,5,1330,654,3
76,157,1.0,-1,1346.0,-1,15,7,1346,663,9
77,163,1.0,-1,1373.0,-1,24,5,1373,647,9
78,148,1.0,-1,1384.0,-1,15,1,1384,800,6
79,161,1.0,-1,1399.0,-1,13,7,1399,688,10
80,153,1.0,0.67145896,1412.0,948.10004,11,4,1412,689,12
81,169,1.0,-1,1433.0,-1,15,8,1433,637,5
82,156,1.0,-1,1440.0,-1,9,2,1440,650,11
83,143,1.0,-1,1448.0,-1,16,4,1448,797,10
84,155,1.0,-1,1465.0,-1,13,6,1465,682,9
85,156,1.0,-1,1480.0,-1,13,8,1480,738,8
86,163,1.0,-1,1498.0,-1,13,7,1498,697,6
87,152,1.0,-1,1514.0,-1,15,5,1514,783,6
88,164,0.99999994,-1,1529.0,-1,13,5,1529,647,5
89,162,1.0,-1,1538.0,-1,11,3,1538,695,5
90,147,1.0,-1,1550.0,-1,12,6,1550,800,6
91,155,1.0,-1,1565.0,-1,14,4,1565,729,8
92,158,0.99999994,-1,1571.0,-1,10,1,1571,697,7
93,150,1.0,-1,1579.0,-1,3,7,1579,804,9
94,166,1.0,-1,1595.0,-1,16,5,1595,667,5
95,161,1.0,-1,1603.0,-1,9,2,1603,710,5
96,162,1.0,-1,1613.0,-1,4,7,1613,663,7
97,164,1.0,-1,1627.0,-1,11,5,1627,579,9
98,153,0.99999994,-1,1641.0,-1,13,8,1641,760,8
99,159,1.0,-1,1657.0,-1,16,2,1657,691,8
100,150,1.0,0.6724521,1668.0,1121.65,12,6,1668,719,13
101,159,1.0,-1,1676.0,-1,3,5,1676,649,9
102,161,1.0,-1,1681.0,-1,7,3,1681,674,7
103,157,1.0,-1,1693.0,-1,10,7,1693,677,8
104,155,1.0,-1,1707.0,-1,14,3,1707,610,17
105,150,1.0,-1,1714.0,-1,5,2,1714,704,12
106,156,1.0,-1,1723.0,-1,9,2,1723,736,4
107,158,0.99999994,-1,1734.0,-1,8,5,1734,725,8
108,168,1.0,-1,1736.0,-1,1,1,1736,637,5
109,149,0.99999994,-1,1744.0,-1,6,5,1744,767,9
110,153,1.0,-1,1754.0,-1,6,6,1754,727,8
111,158,1.0,-1,1759.0,-1,3,4,1759,682,7
112,157,1.0,-1,1770.0,-1,7,7,1770,677,6
