generation,single-policy_found_failures,single-policy_mean_tcp_score,single-policy_mean_failure_rate,single-policy_qd_tcp_score,single-policy_qd_failure_rate,single-policy_added_to_archive,single-policy_replaced_elite,single-policy_num_valid_test_cases,single-policy_num_sim_steps,single-policy_not_confirmed_solvable,multi-policy_found_failures,multi-policy_mean_tcp_score,multi-policy_mean_failure_rate,multi-policy_qd_tcp_score,multi-policy_qd_failure_rate,multi-policy_added_to_archive,multi-policy_replaced_elite,multi-policy_num_valid_test_cases,multi-policy_num_sim_steps,multi-policy_not_confirmed_solvable
1,9,1.0,-1,9.0,-1,44,0,9,2094,9,9,0.888889,-1,8.000001,-1,44,0,9,31517,9
2,20,1.0,-1,23.0,-1,28,2,23,1986,16,21,0.81111115,-1,19.466667,-1,28,3,24,30147,16
3,27,1.0,-1,39.0,-1,30,4,39,1884,25,29,0.7968255,-1,33.46667,-1,30,5,42,28804,25
4,139,1.0,-1,96.0,-1,77,9,96,1166,42,158,0.81931466,-1,87.66667,-1,77,16,107,18714,42
5,134,1.0,-1,137.0,-1,61,7,137,1143,47,153,0.8275269,-1,128.26668,-1,61,17,155,18647,47
6,123,1.0,-1,178.0,-1,63,9,178,1178,55,145,0.82553905,-1,165.93335,-1,63,17,201,18368,55
7,127,0.99999994,-1,220.0,-1,57,9,220,1242,49,151,0.82950824,-1,202.40002,-1,57,18,244,19055,49
8,126,1.0,-1,253.0,-1,44,11,253,1176,55,145,0.8304137,-1,227.53336,-1,44,24,274,18233,55
9,136,1.0,-1,290.0,-1,52,8,290,1179,45,155,0.8320676,-1,262.93335,-1,52,23,316,18472,45
10,133,1.0,-1,322.0,-1,44,7,322,1153,49,151,0.8308573,-1,290.80005,-1,44,12,350,18488,49
11,134,1.0,-1,358.0,-1,46,12,358,1216,46,154,0.83033437,-1,323.00006,-1,46,18,389,19001,46
12,123,1.0,-1,383.0,-1,44,5,383,1166,55,145,0.834845,-1,349.80005,-1,44,18,419,18356,55
13,129,1.0,-1,411.0,-1,39,4,411,1198,54,146,0.8345187,-1,375.5334,-1,39,18,450,18787,54
14,128,0.99999994,-1,431.0,-1,35,5,431,1137,55,145,0.8344538,-1,397.2,-1,35,16,476,18378,55
15,128,1.0,-1,455.0,-1,31,8,455,1261,42,157,0.8328085,-1,423.0667,-1,31,22,508,19014,42
16,135,0.99999994,-1,477.0,-1,34,4,477,1198,45,155,0.83358216,-1,446.80005,-1,34,24,536,18844,45
17,129,1.0,-1,504.0,-1,39,9,504,1201,46,154,0.8355634,-1,474.60004,-1,39,22,568,18783,46
18,115,1.0,-1,533.0,-1,32,9,533,1229,59,141,0.8374231,-1,498.26672,-1,32,17,595,18464,59
19,134,1.0,-1,550.0,-1,31,5,550,1183,46,154,0.8386536,-1,514.93335,-1,31,19,614,18400,46
20,128,1.0,-1,571.0,-1,29,7,571,1247,46,154,0.8397917,-1,537.4667,-1,29,19,640,18902,46
21,125,1.0,-1,594.0,-1,30,8,594,1229,48,152,0.8402799,-1,560.4667,-1,30,16,667,18905,48
22,127,1.0,-1,619.0,-1,32,11,619,1223,48,152,0.8391763,-1,584.0667,-1,32,18,696,18967,48
23,142,1.0,-1,651.0,-1,29,15,651,1190,40,160,0.8392481,-1,610.13336,-1,29,25,727,18536,40
24,130,1.0,-1,669.0,-1,33,6,669,1217,46,154,0.84183365,-1,630.5334,-1,33,18,749,18494,46
25,127,0.99999994,-1,691.0,-1,25,10,691,1251,46,154,0.8413764,-1,652.0667,-1,25,16,775,18734,46
26,121,1.0,-1,715.0,-1,33,7,715,1201,52,148,0.8415735,-1,677.4667,-1,33,18,805,18295,52
27,116,1.0,-1,730.0,-1,30,4,730,1184,65,135,0.842498,-1,692.5334,-1,30,17,822,18375,65
28,128,1.0,-1,747.0,-1,25,7,747,1226,46,154,0.8450001,-1,709.80005,-1,25,27,840,18611,46
29,124,1.0,-1,765.0,-1,31,4,765,1205,55,145,0.8468218,-1,728.2667,-1,31,15,860,18368,55
30,125,1.0,-1,781.0,-1,21,7,781,1199,53,147,0.8472825,-1,743.0668,-1,21,13,877,18415,53
31,130,1.0,-1,808.0,-1,36,6,808,1209,47,153,0.84571445,-1,769.6001,-1,36,14,910,18962,47
32,123,1.0,-1,826.0,-1,16,11,826,1224,54,146,0.8471563,-1,784.46674,-1,16,22,926,18606,54
33,116,1.0,-1,838.0,-1,14,6,838,1235,58,142,0.8501243,-1,798.2667,-1,14,23,939,18408,58
34,135,0.99999994,-1,854.0,-1,17,8,854,1153,51,149,0.8514327,-1,812.2668,-1,17,17,954,18339,51
35,121,0.99999994,-1,876.0,-1,28,8,876,1235,56,144,0.85226893,-1,832.66675,-1,28,13,977,18650,56
36,131,1.0,-1,890.0,-1,15,9,890,1236,43,157,0.85365695,-1,844.2667,-1,15,17,989,18685,43
37,132,1.0,-1,911.0,-1,25,8,911,1197,45,155,0.852819,-1,862.2001,-1,25,17,1011,18536,45
38,125,1.0,-1,928.0,-1,25,5,928,1165,56,144,0.8516151,-1,878.86676,-1,25,11,1032,18047,56
39,127,1.0,-1,947.0,-1,23,4,947,1215,55,145,0.85118943,-1,894.6001,-1,23,12,1051,18466,55
40,121,1.0,-1,966.0,-1,19,10,966,1217,51,149,0.8514926,-1,912.80005,-1,19,18,1072,18464,51
41,127,1.0,-1,986.0,-1,20,9,986,1269,48,152,0.852943,-1,932.2667,-1,20,25,1093,18598,48
42,134,1.0,-1,998.0,-1,10,8,998,1167,53,147,0.8540949,-1,942.0667,-1,10,14,1103,18514,53
43,128,1.0,-1,1014.0,-1,15,10,1014,1190,58,142,0.85452914,-1,952.80005,-1,15,16,1115,18574,58
44,129,1.0,-1,1030.0,-1,19,5,1030,1221,49,151,0.8543472,-1,966.2667,-1,19,10,1131,18563,49
45,126,1.0,-1,1049.0,-1,19,9,1049,1218,51,149,0.8545245,-1,985.2667,-1,19,23,1153,18614,51
46,123,1.0,-1,1066.0,-1,12,12,1066,1276,54,146,0.8558127,-1,998.73346,-1,12,24,1167,18896,54
47,126,1.0,-1,1086.0,-1,17,11,1086,1205,50,150,0.85658795,-1,1014.20013,-1,17,20,1184,18470,50
48,120,1.0,-1,1099.0,-1,13,6,1099,1200,57,143,0.85673654,-1,1023.8001,-1,13,11,1195,18344,57
49,130,1.0,-1,1113.0,-1,13,6,1113,1217,47,153,0.85653746,-1,1037.2668,-1,13,14,1211,18732,47
